test_accuracy,test_precision,test_recall,test_f1,test_f2,test_g_mean,test_roc_auc,activity_label,model,random_state,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants
0.5811714353115627,0.1774395869775505,0.5230273752012883,0.2649775736367915,0.3763975788668837,0.5544314692358926,0.5570527210578932,r_active,LogisticRegression,27,1,1,0,0,0,0,0,0,0,0,0
0.7041519226232601,0.22129432090223186,0.41980676328502414,0.2894606933500818,0.3555188345615836,0.5598086296163994,0.5859876443438752,r_active,RandomForestClassifier,27,1,1,0,0,0,0,0,0,0,0,0
0.6553230209281165,0.2138766419014783,0.5146537842190017,0.3018377982501134,0.40117013199511153,0.5910930777252238,0.5968560123077659,r_active,KNeighborsClassifier,27,1,1,0,0,0,0,0,0,0,0,0
0.5801098641862973,0.17694972725932478,0.5230273752012883,0.26443593859324194,0.3759651224707135,0.5538389316375714,0.5564331423714001,r_active,LinearSVC,27,1,1,0,0,0,0,0,0,0,0,0
0.7126209011559329,0.23414133758961345,0.4418679549114332,0.3056751155746852,0.37480082924295594,0.5768000971280879,0.6001161335895456,r_active,XGBClassifier,27,1,1,0,0,0,0,0,0,0,0,0
0.6956526134870084,0.21964285714285714,0.4342995169082125,0.29073504273504275,0.36201918880630585,0.5647524957959292,0.5870382342905375,r_active,DecisionTreeClassifier,27,1,1,0,0,0,0,0,0,0,0,0
0.5790482930610319,0.17646343690657726,0.5230273752012883,0.2638919258717137,0.3755242143356193,0.5532311224175498,0.5558135636849069,r_active,LinearDiscriminantAnalysis,27,1,1,0,0,0,0,0,0,0,0,0
0.617163751558656,0.19978112381599308,0.5597423510466989,0.29354847231589803,0.40986823225985125,0.5873209348114875,0.5933779908889009,r_active,LogisticRegression,27,1,0,1,0,0,0,0,0,0,0,0
0.7200518990327907,0.20567117308920588,0.33075684380032205,0.2528592319885463,0.2941330474954742,0.5078252439674747,0.5581913091368401,r_active,RandomForestClassifier,27,1,0,1,0,0,0,0,0,0,0,0
0.6850369022343544,0.20209633278598796,0.40466988727858294,0.2691369932749243,0.3365489300421382,0.5425173326669303,0.5685059473567635,r_active,KNeighborsClassifier,27,1,0,1,0,0,0,0,0,0,0,0
0.599123782563273,0.19493229093955047,0.5742351046698873,0.2902545830013399,0.4118970505678628,0.5846274420345193,0.5888523726571245,r_active,LinearSVC,27,1,0,1,0,0,0,0,0,0,0,0
0.7073164155966704,0.20313969141555352,0.3533011272141707,0.2575757575757576,0.3073739904462787,0.5194891258031009,0.5601697705463665,r_active,XGBClassifier,27,1,0,1,0,0,0,0,0,0,0,0
0.7253597546591176,0.22616974341112273,0.3826086956521739,0.28312939695053513,0.33490491079424456,0.5425590230702063,0.5828780776897796,r_active,DecisionTreeClassifier,27,1,0,1,0,0,0,0,0,0,0,0
0.5927610959458093,0.19201702252549713,0.5742351046698873,0.28702905460193345,0.4092985704596919,0.5809870124660225,0.5851349005381654,r_active,LinearDiscriminantAnalysis,27,1,0,1,0,0,0,0,0,0,0,0
0.7443972635055438,0.2702741702741703,0.4185185185185185,0.319849326273193,0.3688593202165518,0.5694981739291983,0.6088875120473632,r_active,LogisticRegression,27,1,0,0,1,0,0,0,0,0,0,0
0.7136723620800054,0.2382197238150463,0.4481481481481482,0.31106247608113285,0.380977286890077,0.5815896048449174,0.603256230207903,r_active,RandomForestClassifier,27,1,0,0,1,0,0,0,0,0,0,0
0.6722946786641053,0.21143372469566046,0.4628019323671498,0.29019141519141517,0.37380385026004287,0.5717562870197842,0.5851803961711833,r_active,KNeighborsClassifier,27,1,0,0,1,0,0,0,0,0,0,0
0.7316651501364877,0.2694287371320864,0.4552334943639291,0.3269012687330645,0.3879695885509839,0.5820348143744142,0.6167121622996845,r_active,LinearSVC,27,1,0,0,1,0,0,0,0,0,0,0
0.7115357395612172,0.2345648604269294,0.4407407407407407,0.3061383061383061,0.37479700993302156,0.5769312080637,0.5989329478177062,r_active,XGBClassifier,27,1,0,0,1,0,0,0,0,0,0,0
0.7051831631449464,0.22676646173037515,0.4334943639291466,0.29776123167043217,0.3666381219020436,0.5695155355655951,0.5922118659794432,r_active,DecisionTreeClassifier,27,1,0,0,1,0,0,0,0,0,0,0
0.7083847268560644,0.24960508963378403,0.47713365539452496,0.314683865245663,0.3896426730585146,0.5810472711434197,0.6121727756526528,r_active,LinearDiscriminantAnalysis,27,1,0,0,1,0,0,0,0,0,0,0
0.5567013783574294,0.17060954816709292,0.5289855072463768,0.2578881598547839,0.37226388058721244,0.5445239625804006,0.5451618986046011,r_active,LogisticRegression,27,1,0,0,0,1,0,0,0,0,0,0
0.6988204765274829,0.17253279261861534,0.286634460547504,0.21511615515771523,0.2528444122245072,0.4684082224127781,0.5274560158995264,r_active,RandomForestClassifier,27,1,0,0,0,1,0,0,0,0,0,0
0.6023455666767769,0.1536231884057971,0.3900161030595813,0.22041925465838508,0.29822572416529675,0.498556677373646,0.5140910750737807,r_active,KNeighborsClassifier,27,1,0,0,0,1,0,0,0,0,0,0
0.555639807232164,0.16880078154269854,0.5215780998389695,0.2549090205757682,0.3675430385483002,0.5407736237895153,0.5414581949008973,r_active,LinearSVC,27,1,0,0,0,1,0,0,0,0,0,0
0.6776328648940114,0.16931199490163115,0.31626409017713364,0.22054681429681433,0.26947927433375934,0.4832119122786899,0.5274009422385049,r_active,XGBClassifier,27,1,0,0,0,1,0,0,0,0,0,0
