CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
MAT-POS-ee51dedd-2,70.37780000000004,3,4,0,57.690000000000005,115.00081948250615,0.8197999999999999
MAT-POS-ee51dedd-3,96.57270000000001,4,2,1,32.34,149.91560466895618,4.609200000000003
LOR-NEU-c8f11034-5,76.10450000000003,2,2,0,37.38,118.52791799115387,3.178600000000001
BEN-BAS-0534ec5c-1,122.72160000000001,5,5,3,104.7,182.8274994789071,3.658800000000001
EDJ-MED-c9f55a56-1,64.63240000000002,3,3,2,70.67,99.27656001811128,1.6027399999999996
ALP-POS-90c18d1d-1,98.21750000000006,5,4,2,65.46000000000001,148.25224488859897,2.916620000000001
NAU-LAT-445f63e5-5,88.37250000000006,5,4,1,62.300000000000004,130.5974964711878,2.6237000000000013
NAU-LAT-445f63e5-7,87.48850000000004,5,4,1,68.29,136.31615014488796,2.1517999999999997
BAR-COM-0f94fc3d-3,99.28940000000003,6,3,2,67.42999999999999,158.6066577781861,3.517900000000002
BAR-COM-0f94fc3d-18,79.49970000000002,3,3,1,46.92,120.78068777562021,3.1225200000000006
BAR-COM-0f94fc3d-25,84.97470000000004,3,3,1,59.06,133.0681394499352,3.282820000000001
BAR-COM-0f94fc3d-28,83.74970000000003,3,4,1,60.45,132.76876569450855,2.995820000000001
BAR-COM-0f94fc3d-38,83.24350000000004,4,3,2,62.22,128.34174014122004,3.279720000000002
BAR-COM-0f94fc3d-41,84.55170000000003,3,3,1,46.92,126.91841859957563,3.636820000000002
BAR-COM-0f94fc3d-43,98.66170000000004,4,5,1,69.03999999999999,151.3812240155415,3.334500000000002
BAR-COM-0f94fc3d-45,83.55970000000002,4,4,1,75.00999999999999,133.28084259044078,3.0172800000000013
BAR-COM-0f94fc3d-48,86.90370000000001,3,4,1,71.53,137.57657623524884,2.40752
BAR-COM-0f94fc3d-49,91.43570000000004,4,3,1,41.99,135.0914032627716,3.863500000000003
BAR-COM-0f94fc3d-55,100.39200000000002,5,3,2,79.29,155.18492677299898,4.142420000000002
BAR-COM-0f94fc3d-58,85.22610000000002,4,4,2,77.24,131.2002815799067,2.799620000000001
ERI-UCB-5b47150d-2,58.85500000000004,3,3,0,42.43,89.87560478657713,1.38772
ERI-UCB-5b47150d-5,59.95600000000003,3,2,0,33.2,94.28670592086387,1.95842
ERI-UCB-5b47150d-6,55.17570000000002,3,2,1,41.99,87.71179231987193,1.9341199999999998
MAT-POS-590ac91e-1,54.07470000000003,3,3,1,51.22,83.30069118558522,1.36342
MAT-POS-590ac91e-2,54.07470000000003,3,3,1,51.22,83.30069118558522,1.36342
MAT-POS-590ac91e-4,59.01070000000003,2,3,1,51.22,94.01891310731996,1.5075199999999997
MAT-POS-590ac91e-5,64.10870000000003,4,2,1,41.99,96.27614114573892,2.7647200000000014
MAT-POS-590ac91e-7,60.95150000000003,4,3,2,62.22,94.70543278353831,1.4895199999999997
MAT-POS-590ac91e-9,61.19470000000003,4,3,1,51.22,95.0247442608492,1.89762
MAT-POS-590ac91e-10,61.19470000000003,5,3,1,51.22,95.02474426084918,1.8976199999999999
MAT-POS-590ac91e-11,66.22270000000003,4,2,1,41.99,97.28197229926812,3.010720000000002
MAT-POS-590ac91e-12,55.87540000000002,2,4,2,80.32000000000001,92.00624431570778,0.43691999999999986
MAT-POS-590ac91e-18,66.54170000000003,3,2,1,41.99,101.63525210660629,2.7647200000000014
MAT-POS-590ac91e-20,66.66170000000002,2,2,1,41.99,101.63525210660629,2.683040000000001
MAT-POS-590ac91e-21,66.61170000000003,2,2,1,41.99,101.6352521066063,2.9088200000000013
MAT-POS-590ac91e-22,66.61170000000003,2,2,1,41.99,101.6352521066063,2.9088200000000013
MAT-POS-590ac91e-23,66.54170000000003,3,2,1,41.99,101.63525210660629,2.7647200000000014
MAT-POS-590ac91e-24,66.61170000000003,3,2,1,41.99,101.6352521066063,2.9088200000000013
MAT-POS-590ac91e-25,66.61170000000003,3,2,1,41.99,101.6352521066063,2.9088200000000013
MAT-POS-590ac91e-29,63.62770000000003,2,3,1,51.22,100.38385522171657,1.8976199999999999
MAT-POS-590ac91e-30,93.21290000000003,3,4,2,80.41999999999999,147.10927938793546,2.237
MAT-POS-590ac91e-32,95.34890000000001,6,4,2,80.41999999999999,148.1151105414647,2.4846000000000004
MAT-POS-590ac91e-33,97.84020000000002,3,4,1,71.63,153.6841929889274,2.5792
MAT-POS-590ac91e-34,97.84020000000002,3,4,1,71.63,153.68419298892738,2.5792
MAT-POS-590ac91e-35,97.97390000000003,3,4,2,80.41999999999999,153.47422150233209,2.409300000000001
MAT-POS-590ac91e-37,99.97620000000003,6,4,1,71.63,154.69002414245662,2.8268000000000004
MAT-POS-590ac91e-38,99.94390000000003,6,4,2,80.41999999999999,154.4800526558613,2.873100000000001
MAT-POS-590ac91e-39,99.94390000000003,6,4,2,80.41999999999999,154.4800526558613,2.873100000000001
MAT-POS-590ac91e-40,99.94390000000003,6,4,2,80.41999999999999,154.48005265586127,2.873100000000001
MAT-POS-590ac91e-41,99.94390000000003,6,4,2,80.41999999999999,154.4800526558613,2.873100000000001
MAT-POS-590ac91e-42,100.40090000000001,6,4,2,80.41999999999999,154.25284136542018,2.998900000000001
MAT-POS-590ac91e-43,105.02820000000003,6,4,1,71.63,160.82775496641207,3.3411000000000017
MAT-POS-590ac91e-45,111.85320000000002,5,4,1,71.63,168.61348392919098,3.5287200000000016
MAT-POS-590ac91e-46,107.20790000000002,5,4,2,80.42,166.2041057311253,3.1895000000000007
MAT-POS-590ac91e-47,107.20790000000002,5,4,2,80.42,166.2041057311253,3.1895000000000007
MAT-POS-590ac91e-48,107.07420000000003,5,4,1,71.63,166.4140772177206,3.3594000000000017
MAT-POS-590ac91e-49,107.07420000000003,5,4,1,71.63,166.4140772177206,3.3594000000000017
MAT-POS-590ac91e-50,107.07420000000003,5,4,1,71.63,166.4140772177206,3.3594000000000017
MAT-POS-590ac91e-51,107.50920000000002,4,4,1,71.63,166.18686592727946,3.483600000000002
MAT-POS-590ac91e-53,112.25990000000002,5,4,2,80.42,172.34183655508076,3.703800000000002
MAT-POS-590ac91e-54,112.12620000000003,4,4,1,71.63,172.55180804167605,3.873700000000003
MAT-POS-590ac91e-56,105.631,3,4,1,90.55000000000001,165.9777120925321,1.8139000000000003
MAT-POS-590ac91e-57,105.631,3,4,1,90.55000000000001,165.9777120925321,1.8139000000000003
MAT-POS-590ac91e-58,110.683,3,4,1,90.55000000000001,172.1154429164875,2.3282000000000007
MAT-POS-590ac91e-59,110.346,3,5,1,114.33999999999997,176.73523388839743,1.68558
MAT-POS-590ac91e-60,110.346,3,5,1,114.33999999999997,176.7352338883974,1.6855800000000003
MAT-POS-590ac91e-61,110.34600000000002,3,5,1,114.33999999999997,176.73523388839743,1.6855799999999999
MAT-POS-590ac91e-62,110.34600000000002,3,5,1,114.33999999999997,176.73523388839743,1.6855799999999999
MAT-POS-590ac91e-63,115.10500000000002,3,4,1,90.55000000000001,178.70759632132533,2.43074
MAT-POS-590ac91e-64,115.10500000000003,3,4,1,90.55000000000001,178.70759632132535,2.43074
MAT-POS-590ac91e-67,110.64099999999999,3,4,1,90.55000000000001,176.28097831941378,2.4673000000000007
MAT-POS-590ac91e-68,110.64099999999999,3,4,1,90.55000000000001,176.28097831941378,2.4673000000000007
MAT-POS-590ac91e-69,110.64099999999999,3,4,1,90.55000000000001,176.28097831941378,2.4673000000000007
MAT-POS-590ac91e-70,110.64100000000002,3,4,1,90.55000000000001,176.28097831941375,2.4673000000000007
JAG-UCB-a3ef7265-3,78.47750000000002,3,4,2,71.45,126.08451210280107,2.3420000000000005
JAG-UCB-a3ef7265-8,83.29270000000004,4,4,1,56.15,132.3519033214269,3.2251200000000013
JAG-UCB-a3ef7265-11,71.94570000000003,3,7,1,85.59,114.59792421701039,1.1452999999999998
JAG-UCB-a3ef7265-12,71.50970000000002,3,3,1,46.92,106.66337206975196,2.4470600000000005
JAG-UCB-a3ef7265-15,69.52570000000003,3,4,1,59.81,109.78979773158828,1.9581199999999999
JAG-UCB-a3ef7265-16,80.97500000000004,3,3,0,38.13,119.57168135354523,2.55086
JAG-UCB-a3ef7265-20,81.22770000000004,3,5,1,69.04,131.98650699722654,2.771200000000001
JAG-UCB-a3ef7265-22,76.51970000000003,3,3,1,46.92,116.96663829663363,3.1004600000000018
JAG-UCB-a3ef7265-23,75.18770000000002,4,3,1,54.88,124.96049435186757,3.2390000000000017
JAG-UCB-cedd89ab-4,77.90200000000003,4,5,0,72.12,128.08729933100483,2.2482000000000006
RAL-MED-2de63afb-1,80.18840000000003,5,4,2,80.32,127.06333852177184,1.4875999999999998
RAL-MED-2de63afb-2,82.72040000000003,5,5,2,93.21000000000001,132.6479286171149,1.1910199999999997
RAL-MED-2de63afb-3,81.17540000000002,4,4,2,83.98,127.53438338760805,1.2612999999999999
RAL-MED-2de63afb-5,76.81990000000003,5,5,2,93.21000000000001,126.28298650271832,0.6314000000000001
RAL-MED-2de63afb-9,62.44440000000003,4,3,2,67.42999999999999,98.46193541697365,1.0358999999999998
RAL-MED-2de63afb-10,67.06140000000003,4,3,2,67.42999999999999,104.82687753137026,1.426
RAL-MED-2de63afb-12,78.32840000000003,5,4,2,83.98,122.17527242674066,1.2939
RAL-MED-2de63afb-14,77.94140000000002,5,5,2,93.21000000000001,130.44852190564455,1.0217
EDJ-MED-49816e9b-1,72.75970000000002,3,2,1,41.99,110.81762216023081,3.2246200000000016
EDJ-MED-49816e9b-2,77.49670000000003,3,2,1,41.99,117.18256427462742,3.5330400000000015
EDJ-MED-49816e9b-3,71.73070000000003,3,3,1,46.92,110.57014975064178,2.5631200000000005
BEN-DND-7e92b6ca-1,77.88490000000002,6,4,2,80.42,121.26791060680328,1.1923000000000001
BEN-DND-7e92b6ca-2,100.01820000000002,6,4,1,71.63,150.5244887395304,2.6877000000000004
BEN-DND-7e92b6ca-3,96.61390000000002,5,3,2,65.2,139.4823183497281,2.3943000000000003
BEN-DND-7e92b6ca-4,91.83360000000002,5,3,3,73.99000000000001,132.90740474873618,2.37
BEN-DND-7e92b6ca-5,88.83890000000002,5,3,2,71.19,132.47108779463503,2.3369
BEN-DND-7e92b6ca-7,105.67300000000002,3,4,1,90.55000000000001,161.81217668960585,1.6748000000000003
BEN-DND-7e92b6ca-8,107.11500000000004,3,4,1,90.55000000000001,164.59028061545715,1.75528
BEN-DND-7e92b6ca-10,102.19120000000002,3,3,1,56.410000000000004,151.41634291158744,2.4861000000000004
BEN-DND-7e92b6ca-11,105.67920000000004,3,4,1,65.64,156.52988814109432,2.4991000000000003
BEN-DND-7e92b6ca-12,105.67920000000002,3,4,1,65.64,156.5298881410943,2.4991000000000003
BEN-DND-7e92b6ca-13,105.67920000000002,3,4,1,65.64,156.5298881410943,2.4991000000000003
BEN-DND-7e92b6ca-14,99.08520000000003,2,3,1,56.410000000000004,149.21693620011703,2.629600000000001
BEN-DND-7e92b6ca-16,99.08520000000004,2,3,1,56.410000000000004,149.21693620011706,2.629600000000001
BEN-DND-93268d01-5,72.32470000000002,4,2,1,41.99,111.04483345067199,3.1004200000000015
BEN-DND-93268d01-7,72.32470000000002,4,2,1,41.99,111.04483345067199,3.1004200000000015
BEN-DND-93268d01-13,81.68870000000004,4,2,1,41.99,119.60918227653897,3.6964200000000025
BEN-DND-93268d01-15,69.38850000000004,3,3,2,62.22,105.30858968554517,2.5294000000000008
MAK-UNK-d4768348-1,75.79280000000001,3,3,1,57.690000000000005,115.39451988707195,-0.13560000000000016
EDJ-MED-e58735b6-2,73.67250000000003,4,3,2,62.22,111.67353179994177,2.0635199999999996
EDJ-MED-e58735b6-3,79.12290000000003,4,4,2,102.15,122.61502252277694,1.21862
NAU-LAT-64f4b287-3,80.18800000000003,4,6,0,62.470000000000006,130.84706144229085,1.6811
NAU-LAT-64f4b287-4,87.15100000000004,3,2,0,29.54,135.01048608504712,3.5600000000000023
NAU-LAT-64f4b287-5,73.19200000000002,2,4,0,59.230000000000004,121.09901964991482,2.24282
NAU-LAT-64f4b287-9,66.22970000000004,4,2,1,41.99,100.51435593334917,1.9405
BRU-LEF-c49414a7-1,84.92540000000004,5,4,2,80.32,133.42828063616844,1.7960199999999997
MAT-POS-2db6411e-2,75.69380000000002,3,3,1,43.78,122.06212241315386,1.9286
EDG-MED-0da5ad92-2,68.02270000000003,3,2,1,41.99,104.45268004583419,2.916200000000001
EDG-MED-0da5ad92-3,77.84770000000003,2,2,1,45.230000000000004,116.57745583043418,3.7117200000000024
EDG-MED-0da5ad92-9,67.81440000000003,3,3,2,54.02,101.82600332934696,1.7182199999999999
EDG-MED-0da5ad92-12,72.75970000000002,3,2,1,41.99,110.81762216023083,3.2246200000000016
