CID,qvina,rfscore_qvina,plants,rfscore_plants
ERI-UCB-5b47150d-5,-4.8,5.339857265123758,-62.403,5.427587996225991
LON-WEI-adc59df6-89,-6.5,7.2533760147630115,-80.2426,7.064027760295257
JAN-GHE-83b26c96-17,-6.4,6.547507562104558,-73.3577,6.3225564173604125
LON-WEI-8f408cad-10,-6.3,7.363719701492947,-72.9314,7.529407165057161
JAG-UCB-c37fbdcd-2,-7.9,6.8898628939393936,-82.6563,7.087856542695872
LON-WEI-b8d98729-43,-7.1,7.557102388322457,-74.5243,7.530181622116443
LOR-NOR-30067bb9-4,-6.9,6.350552213675207,-79.6862,6.370631709734706
VIJ-CYC-1a381570-10,-6.2,6.402073437950939,-78.1511,6.529135639582639
NIR-THE-0d6461ce-8,-6.1,5.266325275946271,-76.6386,6.031344238095239
LON-WEI-d1c9908a-3,-6.6,7.5163172823010385,-80.1503,7.565187184149183
JOH-UNI-c7afdb96-10,-6.5,6.891953714674207,-79.3249,5.857403971388093
LOR-NOR-30067bb9-15,-6.0,5.151922392607394,-65.8829,5.5569271018425965
JAR-KUA-672ec752-1,-7.0,7.048896884559888,-80.6966,7.089152984959482
WAR-XCH-72a8c209-10,-8.6,7.272703496586745,-93.7585,7.305832536990792
LON-WEI-babf2c61-8,-7.5,7.2227735959595964,-92.6232,7.50584463791764
AUS-ARG-7cfdce8f-1,-6.4,7.2139501305916305,-77.1123,6.851087873570871
BAR-COM-4e090d3a-49,-6.1,6.2546757606837655,-67.9274,6.545246412698416
COM-UCB-8c7d23dc-7,-8.1,7.0992078030303025,-83.2526,7.297268246864245
JAN-GHE-83b26c96-12,-6.4,6.431864161560662,-74.0464,6.518558804473307
JAG-UCB-1d922829-5,-7.4,6.838901176601177,-80.813,6.848988101620599
BEN-BAS-baaab58b-1,-7.6,7.264164907037412,-91.0061,7.394758276778782
MAT-POS-ee51dedd-3,-7.5,6.991033459151963,-86.7926,6.967013147186142
COM-UCB-8c7d23dc-15,-7.8,7.252232968364978,-79.6518,7.3113796219336304
MAT-POS-4e253971-2,-6.8,6.397860355366857,-81.467,6.513587230602736
AAR-POS-8a4e0f60-1,-7.6,7.134214741924738,-87.815,7.171619547008553
SER-UNI-985a0e14-4,-7.5,7.143257265068272,-88.193,7.1697803845598855
MAT-POS-590ac91e-52,-8.2,6.988416025974021,-86.9352,7.208074907647908
LON-WEI-adc59df6-73,-6.4,7.156817905344656,-73.3333,7.151831529276282
DAR-DIA-842b4336-16,-5.8,5.827959056221558,-66.4762,5.898675505383504
MAT-POS-590ac91e-57,-8.8,7.032745892551889,-71.5976,6.8570809714729695
AAR-POS-dddeddbf-5,-7.8,7.377655486679987,-87.4802,7.5027053262293295
BEN-DND-7e92b6ca-10,-8.3,6.9609796227661205,-82.50299999999999,7.1581776471861485
