clf,mean_test_score,std_test_score,clf__max_depth,clf__n_estimators,clf__n_neighbors,clf__eta
XGBClassifier,0.6886196832579187,0.083276588621448,,500.0,,0.1
XGBClassifier,0.6876220713926595,0.0843079520399866,,1000.0,,0.1
XGBClassifier,0.6886362368024134,0.07934272096257303,3.0,40.0,,0.2
XGBClassifier,0.6964758421317245,0.08371546514118276,3.0,100.0,,0.2
XGBClassifier,0.6944301282051282,0.08512427561130276,3.0,200.0,,0.2
XGBClassifier,0.6918651332327803,0.08524514203505197,3.0,500.0,,0.2
XGBClassifier,0.689280291603821,0.08494966704542162,3.0,1000.0,,0.2
XGBClassifier,0.6885259678230267,0.08109696465769081,4.0,40.0,,0.2
XGBClassifier,0.6911391779788838,0.08303425199381267,4.0,100.0,,0.2
XGBClassifier,0.6919591628959274,0.08318597029677423,4.0,200.0,,0.2
XGBClassifier,0.6895103192559076,0.08436596768198117,4.0,500.0,,0.2
XGBClassifier,0.6864834967320261,0.08584723676812243,4.0,1000.0,,0.2
XGBClassifier,0.6905085344394167,0.08149574481769563,5.0,40.0,,0.2
XGBClassifier,0.6894445827048769,0.08522948093502768,5.0,100.0,,0.2
XGBClassifier,0.6903186902966314,0.08521762688921335,5.0,200.0,,0.2
XGBClassifier,0.6873814856711915,0.08550729547559818,5.0,500.0,,0.2
XGBClassifier,0.6866110482654599,0.085943745994432,5.0,1000.0,,0.2
XGBClassifier,0.6904192559074912,0.0816978252380566,6.0,40.0,,0.2
XGBClassifier,0.6899285570638513,0.08436521912342908,6.0,100.0,,0.2
XGBClassifier,0.6909983031674207,0.08459985360254065,6.0,200.0,,0.2
XGBClassifier,0.6882974107591755,0.08446507703409614,6.0,500.0,,0.2
XGBClassifier,0.6842911387631976,0.08526098953498679,6.0,1000.0,,0.2
XGBClassifier,0.6909415032679738,0.08059786570039727,7.0,40.0,,0.2
XGBClassifier,0.6900985796882856,0.08376643252027666,7.0,100.0,,0.2
XGBClassifier,0.6900161513323277,0.08404859350479685,7.0,200.0,,0.2
XGBClassifier,0.6869175465057817,0.08449842808634452,7.0,500.0,,0.2
XGBClassifier,0.682376985922574,0.08414757494411702,7.0,1000.0,,0.2
XGBClassifier,0.6906716314731021,0.08261806106876024,8.0,40.0,,0.2
XGBClassifier,0.6894508798391152,0.08421548999483966,8.0,100.0,,0.2
XGBClassifier,0.6885064982403216,0.08405286296306493,8.0,200.0,,0.2
XGBClassifier,0.6852067747611865,0.08587479616317037,8.0,500.0,,0.2
XGBClassifier,0.6813629210658622,0.0853315465757953,8.0,1000.0,,0.2
XGBClassifier,0.6902745098039216,0.08394760183480608,10.0,40.0,,0.2
XGBClassifier,0.6883343640020112,0.08403737700477054,10.0,100.0,,0.2
XGBClassifier,0.6870128456510808,0.08456590551075191,10.0,200.0,,0.2
XGBClassifier,0.6842842257415788,0.08446255280410829,10.0,500.0,,0.2
XGBClassifier,0.6818487556561088,0.08395836025166795,10.0,1000.0,,0.2
XGBClassifier,0.6904192559074912,0.0816978252380566,,40.0,,0.2
XGBClassifier,0.6899285570638513,0.08436521912342908,,100.0,,0.2
XGBClassifier,0.6909983031674207,0.08459985360254065,,200.0,,0.2
XGBClassifier,0.6882974107591755,0.08446507703409614,,500.0,,0.2
XGBClassifier,0.6842911387631976,0.08526098953498679,,1000.0,,0.2
XGBClassifier,0.6925348164906988,0.08192841768102438,3.0,40.0,,0.3
XGBClassifier,0.6945635620915034,0.08453559650624094,3.0,100.0,,0.3
XGBClassifier,0.6926282176973352,0.08500295361018059,3.0,200.0,,0.3
XGBClassifier,0.6887878833584717,0.086312855675382,3.0,500.0,,0.3
XGBClassifier,0.6878418049270991,0.08523741521507487,3.0,1000.0,,0.3
XGBClassifier,0.6919869658119658,0.08092872665848334,4.0,40.0,,0.3
XGBClassifier,0.6927325289089995,0.08464286817097498,4.0,100.0,,0.3
XGBClassifier,0.6913637003519356,0.08462316478192757,4.0,200.0,,0.3
XGBClassifier,0.6889139894419307,0.0843877012947741,4.0,500.0,,0.3
XGBClassifier,0.6865482403217698,0.08462602090017725,4.0,1000.0,,0.3
XGBClassifier,0.689716578682755,0.08170807429489138,5.0,40.0,,0.3
XGBClassifier,0.6898553041729513,0.08474416474761315,5.0,100.0,,0.3
XGBClassifier,0.6908718200100553,0.08437574577149212,5.0,200.0,,0.3
XGBClassifier,0.6869989064856712,0.0848044976905644,5.0,500.0,,0.3
XGBClassifier,0.6840616138763197,0.0840182183595202,5.0,1000.0,,0.3
XGBClassifier,0.688942609351433,0.08202348188449811,6.0,40.0,,0.3
XGBClassifier,0.6898533433886374,0.08270015989513549,6.0,100.0,,0.3
XGBClassifier,0.6881024132730016,0.08298666526542456,6.0,200.0,,0.3
XGBClassifier,0.686815170940171,0.08441363515664223,6.0,500.0,,0.3
XGBClassifier,0.6840033936651585,0.0847629632479334,6.0,1000.0,,0.3
XGBClassifier,0.6887786450477626,0.08496631451353026,7.0,40.0,,0.3
XGBClassifier,0.690615447461036,0.08499977512095933,7.0,100.0,,0.3
XGBClassifier,0.68726685520362,0.08651927523730955,7.0,200.0,,0.3
XGBClassifier,0.6838337355455004,0.08678320460069885,7.0,500.0,,0.3
XGBClassifier,0.6816168803418802,0.0862196609508702,7.0,1000.0,,0.3
XGBClassifier,0.6884194067370538,0.08473770817617772,8.0,40.0,,0.3
XGBClassifier,0.689022850678733,0.08351478038226223,8.0,100.0,,0.3
XGBClassifier,0.6873549145299145,0.08475046336190224,8.0,200.0,,0.3
XGBClassifier,0.6826993086978379,0.08456897266296026,8.0,500.0,,0.3
XGBClassifier,0.6807078808446455,0.08444607656433512,8.0,1000.0,,0.3
XGBClassifier,0.6888972599296127,0.08489603672323588,10.0,40.0,,0.3
XGBClassifier,0.6878262569130216,0.08439215187800216,10.0,100.0,,0.3
XGBClassifier,0.6861258295625943,0.0846410413727436,10.0,200.0,,0.3
XGBClassifier,0.6827289592760182,0.08460373306249913,10.0,500.0,,0.3
XGBClassifier,0.6817049396681751,0.08457822030419061,10.0,1000.0,,0.3
XGBClassifier,0.688942609351433,0.08202348188449811,,40.0,,0.3
XGBClassifier,0.6898533433886374,0.08270015989513549,,100.0,,0.3
XGBClassifier,0.6881024132730016,0.08298666526542456,,200.0,,0.3
XGBClassifier,0.686815170940171,0.08441363515664223,,500.0,,0.3
XGBClassifier,0.6840033936651585,0.0847629632479334,,1000.0,,0.3
DecisionTreeClassifier,0.5931959401709402,0.0832708407670014,3.0,,,
DecisionTreeClassifier,0.6255453242835596,0.08485574109324515,4.0,,,
DecisionTreeClassifier,0.6400235545500251,0.07176252153667963,5.0,,,
DecisionTreeClassifier,0.6330750502765208,0.07656167890026688,6.0,,,
DecisionTreeClassifier,0.6362277777777777,0.07752383478862646,7.0,,,
DecisionTreeClassifier,0.6341898441427852,0.07634826177309613,8.0,,,
DecisionTreeClassifier,0.6338648064353947,0.07716346318201636,10.0,,,
DecisionTreeClassifier,0.6338648064353947,0.07716346318201636,,,,
