test_f1,test_geometric_mean,test_roc_auc,train_f1,train_geometric_mean,train_roc_auc,clf,docking
0.6834071062932852,0.4439749048132225,0.6776414199287789,0.7044173063814168,0.46844983081158936,0.7037399378451472,LogisticRegression,None
0.6751671183378499,0.4596946971076113,0.6450832100989478,0.9982596796182687,0.9955727031589096,0.9982556893140689,RandomForestClassifier,None
0.6800978620897321,0.43402133683351285,0.6771652181500453,0.8478416810864664,0.6149563528405192,0.8420347716845995,KNeighborsClassifier,None
0.685248419150858,0.4464839357051439,0.6787754670248445,0.7035060432069632,0.4687789263142504,0.7024117618109093,LinearSVC,None
0.6685651912074677,0.4444793739029365,0.6398578312833384,0.9975023700907137,0.995559199421268,0.9974951455758189,XGBClassifier,None
0.6778967178560675,0.4382062575811538,0.6728805910853981,0.7011132216454301,0.4651008728102105,0.700262390001627,LogisticRegression,qvina
0.681103583258055,0.4419171557613537,0.6754633563208408,0.701359852655865,0.46540631024068907,0.7005135099788898,LogisticRegression,plants
0.6800135501355014,0.46802459135570734,0.6474497799537606,1.0,1.0,1.0,RandomForestClassifier,qvina
0.6767359229147847,0.4651375366173733,0.6429440103809686,1.0,1.0,1.0,RandomForestClassifier,plants
0.6799759108702197,0.4321492446349117,0.6762225818306744,0.8409766976036913,0.6008197506469668,0.8336150246547498,KNeighborsClassifier,qvina
0.7092818428184282,0.4621169332829401,0.7057250496563954,0.8573603245765823,0.63004707089373,0.8520912527291473,KNeighborsClassifier,plants
0.6772734116230051,0.43824663615097875,0.6723386540322897,0.7010100230716794,0.4657334660869879,0.6999370824810083,LinearSVC,qvina
0.6836133694670281,0.44521669913500966,0.6769274068010447,0.7037162157202033,0.46967416024230296,0.7025678358677552,LinearSVC,plants
0.6754456489009338,0.4576994637180815,0.6468624318723911,1.0,1.0,1.0,XGBClassifier,qvina
0.6690153568202346,0.44867006651468444,0.6373510224073577,1.0,1.0,1.0,XGBClassifier,plants
