clf,mean_test_score,std_test_score,clf__eta,clf__max_depth,clf__n_estimators
XGBClassifier,0.5709889965620044,0.06125269647743825,0.1,8.0,200
XGBClassifier,0.570191976589571,0.0637134242876658,0.1,8.0,500
XGBClassifier,0.5702840456910215,0.06398808042943566,0.1,8.0,1000
XGBClassifier,0.5730699850932396,0.05806840561741352,0.1,9.0,50
XGBClassifier,0.5703996964524726,0.057066000580641686,0.1,9.0,100
XGBClassifier,0.5715110221137674,0.0632779116214297,0.1,9.0,200
XGBClassifier,0.564477521563985,0.0650568722814621,0.1,9.0,500
XGBClassifier,0.561188552890547,0.06522355559666516,0.1,9.0,1000
XGBClassifier,0.5897673381381696,0.05883315015763288,0.1,,50
XGBClassifier,0.5793319583920712,0.06352813928109774,0.1,,100
XGBClassifier,0.5748462971197563,0.056124589438644006,0.1,,200
XGBClassifier,0.5735575581880065,0.06479968008872643,0.1,,500
XGBClassifier,0.5703017609116182,0.06446598112504315,0.1,,1000
XGBClassifier,0.5977545108409459,0.06029718360886405,0.2,3.0,50
XGBClassifier,0.5840466021098486,0.05743256807623538,0.2,3.0,100
XGBClassifier,0.5788709059121944,0.05520337568609309,0.2,3.0,200
XGBClassifier,0.5657793264398415,0.0530180645059935,0.2,3.0,500
XGBClassifier,0.5662163015902164,0.05607395551659361,0.2,3.0,1000
XGBClassifier,0.5866135695469407,0.06066800460418659,0.2,4.0,50
XGBClassifier,0.5812724035575745,0.058900901813035554,0.2,4.0,100
XGBClassifier,0.5724989367673766,0.05664005781384811,0.2,4.0,200
XGBClassifier,0.5711666953242716,0.05611966267658018,0.2,4.0,500
XGBClassifier,0.5678757870570111,0.05634319144044108,0.2,4.0,1000
XGBClassifier,0.5875268484615623,0.07044431462319158,0.2,5.0,50
XGBClassifier,0.5790550235208608,0.06789934413488874,0.2,5.0,100
XGBClassifier,0.5700600348383351,0.059588448589040395,0.2,5.0,200
XGBClassifier,0.5657253461353177,0.05865060602038396,0.2,5.0,500
XGBClassifier,0.5666294305286167,0.05971235202432777,0.2,5.0,1000
XGBClassifier,0.575659044354464,0.060978693621554156,0.2,6.0,50
XGBClassifier,0.5741423358468432,0.06113578335942402,0.2,6.0,100
XGBClassifier,0.5715880554823134,0.05849953873125274,0.2,6.0,200
XGBClassifier,0.5670033027888912,0.06146963430669782,0.2,6.0,500
XGBClassifier,0.5684980544730096,0.06136143393309231,0.2,6.0,1000
XGBClassifier,0.5797326416939236,0.056336014857557286,0.2,7.0,50
XGBClassifier,0.5764586815260323,0.06018759869329202,0.2,7.0,100
XGBClassifier,0.5679562263097038,0.062016976200373795,0.2,7.0,200
XGBClassifier,0.5718663775079629,0.0625442615108917,0.2,7.0,500
XGBClassifier,0.5660190898783057,0.06258029077723273,0.2,7.0,1000
XGBClassifier,0.5704491650706016,0.06310245333932417,0.2,8.0,50
XGBClassifier,0.5672497524170532,0.06546266636247965,0.2,8.0,100
XGBClassifier,0.5701574231345188,0.06454351817587411,0.2,8.0,200
XGBClassifier,0.567458282888875,0.06171280568694628,0.2,8.0,500
XGBClassifier,0.5671430117247602,0.06595201973566836,0.2,8.0,1000
XGBClassifier,0.5737257379536025,0.05312184744812946,0.2,9.0,50
XGBClassifier,0.5692268001672118,0.058410441753436966,0.2,9.0,100
XGBClassifier,0.5683972476683927,0.05853745051909834,0.2,9.0,200
XGBClassifier,0.5641484823374823,0.06059048802080156,0.2,9.0,500
XGBClassifier,0.5648191142468278,0.0632804870450629,0.2,9.0,1000
XGBClassifier,0.575659044354464,0.060978693621554156,0.2,,50
XGBClassifier,0.5741423358468432,0.06113578335942402,0.2,,100
XGBClassifier,0.5715880554823134,0.05849953873125274,0.2,,200
XGBClassifier,0.5670033027888912,0.06146963430669782,0.2,,500
XGBClassifier,0.5684980544730096,0.06136143393309231,0.2,,1000
XGBClassifier,0.5864711666420225,0.0632924450609188,0.3,3.0,50
XGBClassifier,0.5840499255416173,0.06138939737431015,0.3,3.0,100
XGBClassifier,0.5738390850463909,0.05547403393058194,0.3,3.0,200
XGBClassifier,0.5674027086062424,0.059995995766950944,0.3,3.0,500
XGBClassifier,0.5647049669194503,0.061955016259273646,0.3,3.0,1000
XGBClassifier,0.5850502583717536,0.06584882060581503,0.3,4.0,50
XGBClassifier,0.572561979723618,0.06165648287680903,0.3,4.0,100
XGBClassifier,0.5704439726007291,0.055324891374622855,0.3,4.0,200
XGBClassifier,0.5683312465041436,0.0568631058575549,0.3,4.0,500
XGBClassifier,0.5678375839857108,0.0570839036799547,0.3,4.0,1000
XGBClassifier,0.5843042250908421,0.06213674642663936,0.3,5.0,50
XGBClassifier,0.5767448538285468,0.06118401415825908,0.3,5.0,100
XGBClassifier,0.575299386076872,0.06012166924922311,0.3,5.0,200
XGBClassifier,0.5675570304790449,0.061949429997186965,0.3,5.0,500
XGBClassifier,0.564736015360771,0.061737023139344704,0.3,5.0,1000
XGBClassifier,0.5772180392943367,0.05828326077130118,0.3,6.0,50
XGBClassifier,0.5750825360558071,0.057438803774206626,0.3,6.0,100
XGBClassifier,0.5726565276546918,0.06191452489402443,0.3,6.0,200
XGBClassifier,0.5707801640229956,0.06518664861238216,0.3,6.0,500
XGBClassifier,0.5682496752262814,0.06647114168713053,0.3,6.0,1000
XGBClassifier,0.5721284432509415,0.058649607853142376,0.3,7.0,50
XGBClassifier,0.5686656941184688,0.05751684366065993,0.3,7.0,100
XGBClassifier,0.5652075623629446,0.06161949454416605,0.3,7.0,200
XGBClassifier,0.5652467472178521,0.06720208780365032,0.3,7.0,500
XGBClassifier,0.5650165027798569,0.06775855853145962,0.3,7.0,1000
XGBClassifier,0.5695396718181817,0.05565627962027007,0.3,8.0,50
XGBClassifier,0.5660997066366065,0.05417066822081906,0.3,8.0,100
XGBClassifier,0.5665935386747354,0.05521454715455274,0.3,8.0,200
XGBClassifier,0.5647387153171909,0.05576696216819918,0.3,8.0,500
XGBClassifier,0.5645436079843121,0.06080763957384681,0.3,8.0,1000
XGBClassifier,0.571236052045838,0.05492506694348361,0.3,9.0,50
XGBClassifier,0.5643336440773126,0.05831151869718198,0.3,9.0,100
XGBClassifier,0.5664280743020097,0.05887231266600955,0.3,9.0,200
XGBClassifier,0.5633213896410938,0.058827336342491286,0.3,9.0,500
XGBClassifier,0.5636189327819365,0.05923587979545015,0.3,9.0,1000
XGBClassifier,0.5772180392943367,0.05828326077130118,0.3,,50
XGBClassifier,0.5750825360558071,0.057438803774206626,0.3,,100
XGBClassifier,0.5726565276546918,0.06191452489402443,0.3,,200
XGBClassifier,0.5707801640229956,0.06518664861238216,0.3,,500
XGBClassifier,0.5682496752262814,0.06647114168713053,0.3,,1000
